,0
0,Alabama
1,Arkansas
2,California
3,Connecticut
4,Delaware
5,Georgia
6,Hawaii
7,Idaho
8,Illinois
9,Indiana
10,Iowa
11,Kansas
12,Kentucky
13,Louisiana
14,Maryland
15,Minnesota
16,Montana
17,Nebraska
18,New Hampshire
19,North Carolina
20,North Dakota
21,Oklahoma
22,Oregon
23,Pennsylvania
24,Rhode Island
25,Texas
26,Vermont
27,Virginia
28,West Virginia
29,Wisconsin
30,Wyoming
